"Treatment","Month","Tmin","Tmax","Year","SSP_Time","month_name"
NA,6,9.53582085102118,20.0265554746456,2076,"SSP2 2050","June"
NA,6,9.00629395960204,19.9158068878532,2091,"SSP2 2050","June"
NA,6,9.51709157688322,22.3165338921003,2035,"SSP2 2050","June"
NA,6,9.80459712624367,23.2821168376671,2039,"SSP2 2050","June"
NA,6,11.6392775347392,26.3493636645476,2009,"SSP2 2050","June"
NA,6,12.5608168367136,27.1139720297255,2066,"SSP2 2050","June"
NA,6,17.4730160498645,29.7378930458526,2079,"SSP2 2050","June"
NA,6,16.1255061717196,25.3320782679212,2008,"SSP2 2050","June"
NA,7,14.1715458388575,22.2820207771703,2001,"SSP2 2050","July"
NA,7,11.1736024695882,22.7990922303148,2075,"SSP2 2050","July"
NA,7,10.1650832719082,24.0418972124299,2021,"SSP2 2050","July"
NA,7,13.4441573333869,27.8158711811037,2056,"SSP2 2050","July"
NA,7,16.0647624983042,30.574436093494,2088,"SSP2 2050","July"
NA,7,16.7417568720617,31.0546329803443,2044,"SSP2 2050","July"
NA,7,19.5326519916072,32.6218371652287,2048,"SSP2 2050","July"
NA,7,18.2218514188008,28.5266661618372,2037,"SSP2 2050","July"
NA,8,14.295760345248,22.6401393291169,2063,"SSP2 2050","August"
NA,8,13.5917060266134,21.8096194373516,2076,"SSP2 2050","August"
NA,8,10.9480465069847,20.9080069177851,2089,"SSP2 2050","August"
NA,8,11.341092583925,24.152267723841,2074,"SSP2 2050","August"
NA,8,13.1124626284398,27.0081531374298,2026,"SSP2 2050","August"
NA,8,15.3280931015778,29.4434448178336,2025,"SSP2 2050","August"
NA,8,17.0926632227121,31.2694488951709,2085,"SSP2 2050","August"
NA,8,18.6420123749871,29.6431479740228,2091,"SSP2 2050","August"
NA,8,18.0750648912276,27.7215571613497,2052,"SSP2 2050","August"
NA,9,11.8546640624342,19.6392893714719,2025,"SSP2 2050","September"
NA,9,9.25880594285924,16.6485086091769,2012,"SSP2 2050","September"
NA,9,8.92158808645053,18.7670415529911,2076,"SSP2 2050","September"
NA,9,8.73520502654783,20.4154556261474,2028,"SSP2 2050","September"
NA,9,8.71946477941197,21.4574396734488,2061,"SSP2 2050","September"
NA,9,9.16920861787081,22.5600295631504,2021,"SSP2 2050","September"
NA,9,11.609729978264,24.777945476339,2094,"SSP2 2050","September"
NA,9,13.8991205260831,25.8594939373942,2100,"SSP2 2050","September"
NA,9,14.9890385994304,25.2932757568272,2091,"SSP2 2050","September"
NA,9,13.873403187597,22.363960178261,2058,"SSP2 2050","September"
NA,10,10.1743335176415,16.7820563175357,2064,"SSP2 2050","October"
NA,10,7.10992264387038,13.8831915061654,2063,"SSP2 2050","October"
NA,10,4.82207611070361,12.817985096361,2098,"SSP2 2050","October"
NA,10,4.94538799105783,14.6246212241783,2100,"SSP2 2050","October"
NA,10,8.96141562794982,19.8917375129376,2068,"SSP2 2050","October"
NA,10,11.3795228868262,22.0920598212702,2053,"SSP2 2050","October"
NA,10,12.2451506004186,20.1447143012847,2046,"SSP2 2050","October"
NA,10,11.8072845114002,19.321038982181,2093,"SSP2 2050","October"
NA,10,10.6644396885313,17.4475400182333,2027,"SSP2 2050","October"
NA,11,4.24519188446649,9.16976849738597,2013,"SSP2 2050","November"
NA,11,3.43440460584855,8.37915326260055,2079,"SSP2 2050","November"
NA,11,0.456226106650664,5.91336888626227,2064,"SSP2 2050","November"
NA,11,-0.778073529663117,5.24065915499467,2062,"SSP2 2050","November"
NA,11,1.68510171881677,9.28432544442241,2028,"SSP2 2050","November"
NA,11,2.27967335148024,10.211038469425,2033,"SSP2 2050","November"
NA,11,3.68836541486073,12.2523938487681,2045,"SSP2 2050","November"
NA,11,8.66832361940798,15.7925447045889,2074,"SSP2 2050","November"
NA,11,8.46681003189472,14.5982252504541,2097,"SSP2 2050","November"
NA,11,7.60642880023302,13.1291359226279,2052,"SSP2 2050","November"
NA,11,5.81377681036139,10.8021979309724,2024,"SSP2 2050","November"
NA,12,0.318480571749577,4.16242929067004,2018,"SSP2 2050","December"
NA,12,-1.88759518658779,2.84932293768945,2084,"SSP2 2050","December"
NA,12,-5.0441204560329,1.2057175850091,2026,"SSP2 2050","December"
NA,12,1.9188545772343,8.55607414708036,2085,"SSP2 2050","December"
NA,12,2.44390211673143,9.03794982944495,2069,"SSP2 2050","December"
NA,12,4.83227097963612,11.1564615077166,2086,"SSP2 2050","December"
NA,12,6.17355313814158,12.1734486960993,2081,"SSP2 2050","December"
NA,12,5.16064192664336,9.7170930986678,2042,"SSP2 2050","December"
NA,12,4.09447968341694,7.88171127536039,2070,"SSP2 2050","December"
