"SSP_Time","GCM","Year","Pheno"
"SSP1 2050","CNRM-CM6-1-HR",2082,108.208333333333
"SSP1 2050","CNRM-CM6-1-HR",2083,113
"SSP1 2050","CNRM-CM6-1-HR",2084,88.9166666666667
"SSP1 2050","CNRM-CM6-1-HR",2085,100
"SSP1 2050","CNRM-CM6-1-HR",2086,107.041666666667
"SSP1 2050","CNRM-CM6-1-HR",2087,107.291666666667
"SSP1 2050","CNRM-CM6-1-HR",2088,91.8333333333333
"SSP1 2050","CNRM-CM6-1-HR",2089,101
"SSP1 2050","CNRM-CM6-1-HR",2090,99.9583333333333
"SSP1 2050","CNRM-CM6-1-HR",2091,114.25
"SSP1 2050","CNRM-CM6-1-HR",2092,105.916666666667
"SSP1 2050","CNRM-CM6-1-HR",2093,107.291666666667
"SSP1 2050","CNRM-CM6-1-HR",2094,100
"SSP1 2050","CNRM-CM6-1-HR",2095,118.25
"SSP1 2050","CNRM-CM6-1-HR",2096,84.4583333333333
"SSP1 2050","CNRM-CM6-1-HR",2097,118.083333333333
"SSP1 2050","CNRM-CM6-1-HR",2098,101.458333333333
"SSP1 2050","CNRM-CM6-1-HR",2099,101.25
"SSP1 2050","CNRM-CM6-1-HR",2100,90.1666666666667
"SSP1 2050","CNRM-ESM2-1",2001,NA
"SSP1 2050","CNRM-ESM2-1",2002,116
"SSP1 2050","CNRM-ESM2-1",2003,110.833333333333
"SSP1 2050","CNRM-ESM2-1",2004,104.083333333333
"SSP1 2050","CNRM-ESM2-1",2005,100.125
"SSP1 2050","CNRM-ESM2-1",2006,94.625
"SSP1 2050","CNRM-ESM2-1",2007,101.166666666667
"SSP1 2050","CNRM-ESM2-1",2008,105.541666666667
"SSP1 2050","CNRM-ESM2-1",2009,101.375
"SSP1 2050","CNRM-ESM2-1",2010,100.791666666667
"SSP1 2050","CNRM-ESM2-1",2011,101.958333333333
"SSP1 2050","CNRM-ESM2-1",2012,108.833333333333
"SSP1 2050","CNRM-ESM2-1",2013,104
"SSP1 2050","CNRM-ESM2-1",2014,107.333333333333
"SSP1 2050","CNRM-ESM2-1",2015,124.375
"SSP1 2050","CNRM-ESM2-1",2016,110
"SSP1 2050","CNRM-ESM2-1",2017,103.916666666667
"SSP1 2050","CNRM-ESM2-1",2018,105.291666666667
"SSP1 2050","CNRM-ESM2-1",2019,122.416666666667
"SSP1 2050","CNRM-ESM2-1",2020,101.25
"SSP1 2050","CNRM-ESM2-1",2021,100.958333333333
"SSP1 2050","CNRM-ESM2-1",2022,97.125
"SSP1 2050","CNRM-ESM2-1",2023,105.25
"SSP1 2050","CNRM-ESM2-1",2024,103.75
"SSP1 2050","CNRM-ESM2-1",2025,106.208333333333
"SSP1 2050","CNRM-ESM2-1",2026,92.125
"SSP1 2050","CNRM-ESM2-1",2027,92
"SSP1 2050","CNRM-ESM2-1",2028,94.25
"SSP1 2050","CNRM-ESM2-1",2029,97.0833333333333
"SSP1 2050","CNRM-ESM2-1",2030,112.083333333333
"SSP1 2050","CNRM-ESM2-1",2031,99.375
"SSP1 2050","CNRM-ESM2-1",2032,99.9166666666667
"SSP1 2050","CNRM-ESM2-1",2033,105.25
"SSP1 2050","CNRM-ESM2-1",2034,107.083333333333
"SSP1 2050","CNRM-ESM2-1",2035,114.166666666667
"SSP1 2050","CNRM-ESM2-1",2036,104.291666666667
"SSP1 2050","CNRM-ESM2-1",2037,115.041666666667
"SSP1 2050","CNRM-ESM2-1",2038,111.125
"SSP1 2050","CNRM-ESM2-1",2039,126.875
"SSP1 2050","CNRM-ESM2-1",2040,106.041666666667
"SSP1 2050","CNRM-ESM2-1",2041,103.208333333333
"SSP1 2050","CNRM-ESM2-1",2042,111.958333333333
"SSP1 2050","CNRM-ESM2-1",2043,105.208333333333
"SSP1 2050","CNRM-ESM2-1",2044,100.833333333333
"SSP1 2050","CNRM-ESM2-1",2045,110.958333333333
"SSP1 2050","CNRM-ESM2-1",2046,119.333333333333
"SSP1 2050","CNRM-ESM2-1",2047,101.25
"SSP1 2050","CNRM-ESM2-1",2048,108.125
"SSP1 2050","CNRM-ESM2-1",2049,110.041666666667
"SSP1 2050","CNRM-ESM2-1",2050,106.208333333333
"SSP1 2050","CNRM-ESM2-1",2051,123.333333333333
"SSP1 2050","CNRM-ESM2-1",2052,120.5
"SSP1 2050","CNRM-ESM2-1",2053,103.958333333333
"SSP1 2050","CNRM-ESM2-1",2054,105.083333333333
"SSP1 2050","CNRM-ESM2-1",2055,95.2916666666667
"SSP1 2050","CNRM-ESM2-1",2056,100.166666666667
"SSP1 2050","CNRM-ESM2-1",2057,109.333333333333
"SSP1 2050","CNRM-ESM2-1",2058,100.458333333333
"SSP1 2050","CNRM-ESM2-1",2059,106.125
"SSP1 2050","CNRM-ESM2-1",2060,106.25
